用例名称,shape,dtype,value_range,精度是否通过,TBE算子性能(us),Ascend C算子性能(us),性能比值 (TBE/AscendC)
Test_NotEqual_001_sub_case_019_ND_bool,"(131072,)",uint8 uint8,"[0, 1]",通过,7.620,7.540,1.011
Test_NotEqual_001_sub_case_020_ND_bool,"(131072,)",bool bool,"[0, 1]",通过,7.400,7.280,1.016
Test_NotEqual_001_sub_case_021_ND_bool,"(131072,)",bfloat16 bfloat16,"[0, 1]",通过,10.660,10.860,0.982
Test_NotEqual_001_sub_case_022_ND_bool,"(1000, 999)",float16 float16,"[0, 1]",通过,14.320,15.000,0.955
Test_NotEqual_001_sub_case_023_ND_bool,"(1000, 999)",float float,"[0, 1]",通过,25.480,28.540,0.893
Test_NotEqual_001_sub_case_024_ND_bool,"(1000, 999)",int32 int32,"[0, 1]",通过,18.820,18.960,0.993
Test_NotEqual_001_sub_case_025_ND_bool,"(1000, 999)",int8 int8,"[0, 1]",通过,11.740,14.240,0.824
Test_NotEqual_001_sub_case_026_ND_bool,"(1000, 999)",uint8 uint8,"[0, 1]",通过,10.820,12.680,0.853
Test_NotEqual_001_sub_case_027_ND_bool,"(1000, 999)",bool bool,"[0, 1]",通过,10.220,10.260,0.996
Test_NotEqual_001_sub_case_028_ND_bool,"(1000, 999)",bfloat16 bfloat16,"[0, 1]",通过,25.760,22.840,1.128
Test_NotEqual_001_sub_case_029_ND_bool,"(10, 0, 20)",float16 float16,"[0, 1]",通过,1.680,1.400,1.200
Test_NotEqual_001_sub_case_030_ND_bool,"(10, 0, 20)",float float,"[0, 1]",通过,1.280,1.820,0.703
Test_NotEqual_001_sub_case_031_ND_bool,"(10, 0, 20)",int32 int32,"[0, 1]",通过,1.660,1.440,1.153
Test_NotEqual_001_sub_case_032_ND_bool,"(10, 0, 20)",int8 int8,"[0, 1]",通过,1.380,1.940,0.711
Test_NotEqual_001_sub_case_033_ND_bool,"(10, 0, 20)",uint8 uint8,"[0, 1]",通过,1.740,1.660,1.048
Test_NotEqual_001_sub_case_034_ND_bool,"(10, 0, 20)",bool bool,"[0, 1]",通过,1.400,2.000,0.700
Test_NotEqual_001_sub_case_035_ND_bool,"(10, 0, 20)",bfloat16 bfloat16,"[0, 1]",通过,1.680,1.420,1.183
Test_NotEqual_001_sub_case_036_ND_bool,(),float16 float16,"[0, 1]",通过,12.560,11.920,1.054
Test_NotEqual_001_sub_case_037_ND_bool,(),float float,"[0, 1]",通过,27.100,23.200,1.168
Test_NotEqual_001_sub_case_038_ND_bool,(),int32 int32,"[0, 1]",通过,25.200,25.020,1.007
Test_NotEqual_001_sub_case_039_ND_bool,(),int8 int8,"[0, 1]",通过,18.760,18.320,1.024
Test_NotEqual_001_sub_case_040_ND_bool,(),uint8 uint8,"[0, 1]",通过,9.680,9.780,0.990
Test_NotEqual_001_sub_case_041_ND_bool,(),bool bool,"[0, 1]",通过,10.460,10.720,0.976
Test_NotEqual_001_sub_case_042_ND_bool,(),bfloat16 bfloat16,"[0, 1]",通过,10.700,10.620,1.008
Test_NotEqual_002_case_001_ND_bool,"(1048576,)",float16 float16,"[-100000.0, 100000.0]",通过,12.380,12.400,0.998
Test_NotEqual_003_sub_case_001_ND_bool,"(1048576,)",float float,"[-1e+39, 1e+39]",通过,24.100,19.240,1.253
Test_NotEqual_003_sub_case_002_ND_bool,"(1048576,)",bfloat16 bfloat16,"[-1e+39, 1e+39]",通过,19.040,19.180,0.993
Test_NotEqual_004_case_001_ND_bool,"(1048576,)",int32 int32,"[-10000000000.0, 10000000000.0]",通过,9.660,9.840,0.982
Test_NotEqual_005_case_001_ND_bool,"(1048576,)",int8 int8,"[-1000.0, 1000.0]",通过,10.300,10.480,0.983
Test_NotEqual_006_case_001_ND_bool,"(1048576,)",uint8 uint8,"[0, 1000.0]",通过,1.340,1.760,0.761
Test_NotEqual_007_case_001_ND_bool,"(1048576,)",bool bool,"[0, 5e-324]",通过,2.120,1.760,1.205
Test_NotEqual_008_case_001_ND_bool,"(1048576,)",float16 float16,"[-1e-06, 1e-06]",通过,1.400,1.920,0.729
Test_NotEqual_009_case_001_ND_bool,"(1048576,)",float float,"[-1e-44, 1e-44]",通过,1.820,1.440,1.264
Test_NotEqual_010_sub_case_001_ND_bool,"(1048576,)",int32 int32,"[-10, 10]",通过,1.480,2.060,0.718
Test_NotEqual_010_sub_case_002_ND_bool,"(1048576,)",int8 int8,"[-10, 10]",通过,1.660,1.520,1.092
Test_NotEqual_011_case_001_ND_bool,"(1048576,)",uint8 uint8,"[0, 10]",通过,1.740,2.240,0.777
Test_NotEqual_0012_sub_case_001_ND_bool,"(1024,)",float16 float16,"[0, 1]",通过,2.000,1.760,1.136
Test_NotEqual_0012_sub_case_002_ND_bool,"(1024,)",float float,"[0, 1]",通过,2.440,2.660,0.917
Test_NotEqual_0012_sub_case_003_ND_bool,"(1024,)",int32 int32,"[0, 1]",通过,2.260,1.680,1.345
Test_NotEqual_0012_sub_case_004_ND_bool,"(1024,)",int8 int8,"[0, 1]",通过,1.900,1.800,1.056
Test_NotEqual_0012_sub_case_005_ND_bool,"(1024,)",uint8 uint8,"[0, 1]",通过,1.940,1.620,1.198
Test_NotEqual_0012_sub_case_006_ND_bool,"(1024,)",bool bool,"[0, 1]",通过,1.580,1.800,0.878
Test_NotEqual_0012_sub_case_007_ND_bool,"(1024,)",bfloat16 bfloat16,"[0, 1]",通过,2.520,2.320,1.086
Test_NotEqual_0012_sub_case_008_ND_bool,"(2048,)",float16 float16,"[0, 1]",通过,2.140,2.200,0.973
Test_NotEqual_0012_sub_case_009_ND_bool,"(2048,)",float float,"[0, 1]",通过,2.740,2.340,1.171
Test_NotEqual_0012_sub_case_010_ND_bool,"(2048,)",int32 int32,"[0, 1]",通过,2.480,2.540,0.976
Test_NotEqual_0012_sub_case_011_ND_bool,"(2048,)",int8 int8,"[0, 1]",通过,2.000,1.840,1.087
Test_NotEqual_0012_sub_case_012_ND_bool,"(2048,)",uint8 uint8,"[0, 1]",通过,2.020,1.940,1.041
Test_NotEqual_0012_sub_case_013_ND_bool,"(2048,)",bool bool,"[0, 1]",通过,2.060,1.800,1.144
Test_NotEqual_0012_sub_case_014_ND_bool,"(2048,)",bfloat16 bfloat16,"[0, 1]",通过,2.420,2.200,1.100
Test_NotEqual_0012_sub_case_015_ND_bool,"(4096,)",float16 float16,"[0, 1]",通过,1.920,2.180,0.881
Test_NotEqual_0012_sub_case_016_ND_bool,"(4096,)",float float,"[0, 1]",通过,3.280,3.120,1.051
Test_NotEqual_0012_sub_case_017_ND_bool,"(4096,)",int32 int32,"[0, 1]",通过,2.980,2.840,1.049
Test_NotEqual_0012_sub_case_018_ND_bool,"(4096,)",int8 int8,"[0, 1]",通过,1.960,2.080,0.942
Test_NotEqual_0012_sub_case_019_ND_bool,"(4096,)",uint8 uint8,"[0, 1]",通过,2.380,2.120,1.123
Test_NotEqual_0012_sub_case_020_ND_bool,"(4096,)",bool bool,"[0, 1]",通过,2.000,1.940,1.031
Test_NotEqual_0012_sub_case_021_ND_bool,"(4096,)",bfloat16 bfloat16,"[0, 1]",通过,3.000,2.960,1.014
Test_NotEqual_0012_sub_case_022_ND_bool,"(8192,)",float16 float16,"[0, 1]",通过,3.020,2.840,1.063
Test_NotEqual_0012_sub_case_023_ND_bool,"(8192,)",float float,"[0, 1]",通过,5.120,5.260,0.973
Test_NotEqual_0012_sub_case_024_ND_bool,"(8192,)",int32 int32,"[0, 1]",通过,4.840,4.500,1.076
Test_NotEqual_0012_sub_case_025_ND_bool,"(8192,)",int8 int8,"[0, 1]",通过,2.700,2.680,1.007
Test_NotEqual_0012_sub_case_026_ND_bool,"(8192,)",uint8 uint8,"[0, 1]",通过,2.720,2.800,0.971
Test_NotEqual_0012_sub_case_027_ND_bool,"(8192,)",bool bool,"[0, 1]",通过,3.320,3.000,1.107
Test_NotEqual_0012_sub_case_028_ND_bool,"(8192,)",bfloat16 bfloat16,"[0, 1]",通过,5.120,4.640,1.103
Test_NotEqual_0012_sub_case_029_ND_bool,"(16384,)",float16 float16,"[0, 1]",通过,4.060,4.120,0.985
Test_NotEqual_0012_sub_case_030_ND_bool,"(16384,)",float float,"[0, 1]",通过,6.940,6.580,1.055
Test_NotEqual_0012_sub_case_031_ND_bool,"(16384,)",int32 int32,"[0, 1]",通过,8.200,8.400,0.976
Test_NotEqual_0012_sub_case_032_ND_bool,"(16384,)",int8 int8,"[0, 1]",通过,4.500,4.400,1.023
Test_NotEqual_0012_sub_case_033_ND_bool,"(16384,)",uint8 uint8,"[0, 1]",通过,4.440,4.080,1.088
Test_NotEqual_0012_sub_case_034_ND_bool,"(16384,)",bool bool,"[0, 1]",通过,4.220,4.240,0.995
Test_NotEqual_0012_sub_case_035_ND_bool,"(16384,)",bfloat16 bfloat16,"[0, 1]",通过,6.960,6.420,1.084
Test_NotEqual_0012_sub_case_036_ND_bool,"(32767,)",float16 float16,"[0, 1]",通过,6.120,6.300,0.971
Test_NotEqual_0012_sub_case_037_ND_bool,"(32767,)",float float,"[0, 1]",通过,9.840,9.520,1.034
Test_NotEqual_0012_sub_case_038_ND_bool,"(32767,)",int32 int32,"[0, 1]",通过,8.760,8.800,0.995
Test_NotEqual_0012_sub_case_039_ND_bool,"(32767,)",int8 int8,"[0, 1]",通过,5.920,5.560,1.065
Test_NotEqual_0012_sub_case_040_ND_bool,"(32767,)",uint8 uint8,"[0, 1]",通过,5.920,5.680,1.042
Test_NotEqual_0012_sub_case_041_ND_bool,"(32767,)",bool bool,"[0, 1]",通过,6.100,5.960,1.023
Test_NotEqual_0012_sub_case_042_ND_bool,"(32767,)",bfloat16 bfloat16,"[0, 1]",通过,7.740,8.260,0.937
Test_NotEqual_0012_sub_case_043_ND_bool,"(65536,)",float16 float16,"[0, 1]",通过,9.240,9.460,0.977
Test_NotEqual_0012_sub_case_044_ND_bool,"(65536,)",float float,"[0, 1]",通过,11.080,11.080,1.000
Test_NotEqual_0012_sub_case_045_ND_bool,"(65536,)",int32 int32,"[0, 1]",通过,10.420,10.460,0.996
Test_NotEqual_0012_sub_case_046_ND_bool,"(65536,)",int8 int8,"[0, 1]",通过,7.060,6.720,1.051
Test_NotEqual_0012_sub_case_047_ND_bool,"(65536,)",uint8 uint8,"[0, 1]",通过,6.980,7.140,0.978
Test_NotEqual_0012_sub_case_048_ND_bool,"(65536,)",bool bool,"[0, 1]",通过,6.780,6.820,0.994
Test_NotEqual_0012_sub_case_049_ND_bool,"(65536,)",bfloat16 bfloat16,"[0, 1]",通过,10.900,10.680,1.021
Test_NotEqual_0012_sub_case_050_ND_bool,"(131072,)",float16 float16,"[0, 1]",通过,9.060,8.320,1.089
Test_NotEqual_0012_sub_case_051_ND_bool,"(131072,)",float float,"[0, 1]",通过,13.200,13.320,0.991
Test_NotEqual_0012_sub_case_052_ND_bool,"(131072,)",int32 int32,"[0, 1]",通过,13.280,13.320,0.997
Test_NotEqual_0012_sub_case_053_ND_bool,"(131072,)",int8 int8,"[0, 1]",通过,8.780,8.700,1.009
Test_NotEqual_0012_sub_case_054_ND_bool,"(131072,)",uint8 uint8,"[0, 1]",通过,7.700,7.880,0.977
Test_NotEqual_0012_sub_case_055_ND_bool,"(131072,)",bool bool,"[0, 1]",通过,7.640,7.720,0.990
Test_NotEqual_0012_sub_case_056_ND_bool,"(131072,)",bfloat16 bfloat16,"[0, 1]",通过,14.500,14.320,1.013
Test_NotEqual_0012_sub_case_057_ND_bool,"(262144,)",float16 float16,"[0, 1]",通过,9.860,9.620,1.025
Test_NotEqual_0012_sub_case_058_ND_bool,"(262144,)",float float,"[0, 1]",通过,13.920,13.660,1.019
Test_NotEqual_0012_sub_case_059_ND_bool,"(262144,)",int32 int32,"[0, 1]",通过,11.800,11.500,1.026
Test_NotEqual_0012_sub_case_060_ND_bool,"(262144,)",int8 int8,"[0, 1]",通过,11.640,11.340,1.026
Test_NotEqual_0012_sub_case_061_ND_bool,"(262144,)",uint8 uint8,"[0, 1]",通过,8.020,8.220,0.976
Test_NotEqual_0012_sub_case_062_ND_bool,"(262144,)",bool bool,"[0, 1]",通过,8.280,8.480,0.976
Test_NotEqual_0012_sub_case_063_ND_bool,"(262144,)",bfloat16 bfloat16,"[0, 1]",通过,20.160,15.280,1.319
Test_NotEqual_0012_sub_case_064_ND_bool,"(524288,)",float16 float16,"[0, 1]",通过,12.520,12.200,1.026
Test_NotEqual_0012_sub_case_065_ND_bool,"(524288,)",float float,"[0, 1]",通过,21.800,21.840,0.998
Test_NotEqual_0012_sub_case_066_ND_bool,"(524288,)",int32 int32,"[0, 1]",通过,18.900,20.680,0.914
Test_NotEqual_0012_sub_case_067_ND_bool,"(524288,)",int8 int8,"[0, 1]",通过,14.120,10.880,1.298
Test_NotEqual_0012_sub_case_068_ND_bool,"(524288,)",uint8 uint8,"[0, 1]",通过,9.740,10.000,0.974
Test_NotEqual_0012_sub_case_069_ND_bool,"(524288,)",bool bool,"[0, 1]",通过,9.980,10.020,0.996
Test_NotEqual_0012_sub_case_070_ND_bool,"(524288,)",bfloat16 bfloat16,"[0, 1]",通过,24.680,24.120,1.023
Test_NotEqual_0012_sub_case_071_ND_bool,"(1048577,)",float16 float16,"[0, 1]",通过,17.760,18.180,0.977
Test_NotEqual_0012_sub_case_072_ND_bool,"(1048577,)",float float,"[0, 1]",通过,34.300,34.080,1.006
Test_NotEqual_0012_sub_case_073_ND_bool,"(1048577,)",int32 int32,"[0, 1]",通过,28.160,28.240,0.997
Test_NotEqual_0012_sub_case_074_ND_bool,"(1048577,)",int8 int8,"[0, 1]",通过,12.480,12.360,1.010
Test_NotEqual_0012_sub_case_075_ND_bool,"(1048577,)",uint8 uint8,"[0, 1]",通过,12.160,12.120,1.003
Test_NotEqual_0012_sub_case_076_ND_bool,"(1048577,)",bool bool,"[0, 1]",通过,11.680,11.600,1.007
Test_NotEqual_0012_sub_case_077_ND_bool,"(1048577,)",bfloat16 bfloat16,"[0, 1]",通过,30.460,30.940,0.984
Test_NotEqual_0012_sub_case_078_ND_bool,"(2097152,)",float16 float16,"[0, 1]",通过,29.060,29.400,0.988
Test_NotEqual_0012_sub_case_079_ND_bool,"(2097152,)",float float,"[0, 1]",通过,53.020,53.080,0.999
Test_NotEqual_0012_sub_case_080_ND_bool,"(2097152,)",int32 int32,"[0, 1]",通过,49.940,51.620,0.967
Test_NotEqual_0012_sub_case_081_ND_bool,"(2097152,)",int8 int8,"[0, 1]",通过,17.900,17.860,1.002
Test_NotEqual_0012_sub_case_082_ND_bool,"(2097152,)",uint8 uint8,"[0, 1]",通过,17.820,18.280,0.975
Test_NotEqual_0012_sub_case_083_ND_bool,"(2097152,)",bool bool,"[0, 1]",通过,18.100,18.140,0.998
Test_NotEqual_0012_sub_case_084_ND_bool,"(2097152,)",bfloat16 bfloat16,"[0, 1]",通过,49.100,48.280,1.017
Test_NotEqual_0012_sub_case_085_ND_bool,"(4194304,)",float16 float16,"[0, 1]",通过,50.600,51.500,0.983
Test_NotEqual_0012_sub_case_086_ND_bool,"(4194304,)",float float,"[0, 1]",通过,105.480,100.260,1.052
Test_NotEqual_0012_sub_case_087_ND_bool,"(4194304,)",int32 int32,"[0, 1]",通过,95.860,94.400,1.015
Test_NotEqual_0012_sub_case_088_ND_bool,"(4194304,)",int8 int8,"[0, 1]",通过,29.680,29.600,1.003
Test_NotEqual_0012_sub_case_089_ND_bool,"(4194304,)",uint8 uint8,"[0, 1]",通过,29.240,29.300,0.998
Test_NotEqual_0012_sub_case_090_ND_bool,"(4194304,)",bool bool,"[0, 1]",通过,28.840,28.380,1.016
Test_NotEqual_0012_sub_case_091_ND_bool,"(4194304,)",bfloat16 bfloat16,"[0, 1]",通过,74.880,74.660,1.003
Test_NotEqual_0012_sub_case_092_ND_bool,"(8388608,)",float16 float16,"[0, 1]",通过,94.600,94.900,0.997
Test_NotEqual_0012_sub_case_093_ND_bool,"(8388608,)",float float,"[0, 1]",通过,212.480,215.060,0.988
Test_NotEqual_0012_sub_case_094_ND_bool,"(8388608,)",int32 int32,"[0, 1]",通过,224.480,217.940,1.030
Test_NotEqual_0012_sub_case_095_ND_bool,"(8388608,)",int8 int8,"[0, 1]",通过,55.980,55.260,1.013
Test_NotEqual_0012_sub_case_096_ND_bool,"(8388608,)",uint8 uint8,"[0, 1]",通过,53.940,53.960,1.000
Test_NotEqual_0012_sub_case_097_ND_bool,"(8388608,)",bool bool,"[0, 1]",通过,54.580,54.580,1.000
Test_NotEqual_0012_sub_case_098_ND_bool,"(8388608,)",bfloat16 bfloat16,"[0, 1]",通过,142.980,144.180,0.992
Test_NotEqual_0012_sub_case_099_ND_bool,"(16777216,)",float16 float16,"[0, 1]",通过,221.720,223.120,0.994
Test_NotEqual_0012_sub_case_100_ND_bool,"(16777216,)",float float,"[0, 1]",通过,508.540,502.260,1.013
Test_NotEqual_0012_sub_case_101_ND_bool,"(16777216,)",int32 int32,"[0, 1]",通过,469.000,467.060,1.004
Test_NotEqual_0012_sub_case_102_ND_bool,"(16777216,)",int8 int8,"[0, 1]",通过,105.060,102.040,1.030
Test_NotEqual_0012_sub_case_103_ND_bool,"(16777216,)",uint8 uint8,"[0, 1]",通过,101.020,102.440,0.986
Test_NotEqual_0012_sub_case_104_ND_bool,"(16777216,)",bool bool,"[0, 1]",通过,101.920,100.340,1.016
Test_NotEqual_0012_sub_case_105_ND_bool,"(16777216,)",bfloat16 bfloat16,"[0, 1]",通过,352.420,343.980,1.025
Test_NotEqual_0012_sub_case_106_ND_bool,"(33554432,)",float16 float16,"[0, 1]",通过,530.500,533.540,0.994
Test_NotEqual_0012_sub_case_107_ND_bool,"(33554432,)",float float,"[0, 1]",通过,924.400,926.140,0.998
Test_NotEqual_0012_sub_case_108_ND_bool,"(33554432,)",int32 int32,"[0, 1]",通过,912.980,914.460,0.998
Test_NotEqual_0012_sub_case_109_ND_bool,"(33554432,)",int8 int8,"[0, 1]",通过,263.620,263.080,1.002
Test_NotEqual_0012_sub_case_110_ND_bool,"(33554432,)",uint8 uint8,"[0, 1]",通过,269.000,263.740,1.020
Test_NotEqual_0012_sub_case_111_ND_bool,"(33554432,)",bool bool,"[0, 1]",通过,263.680,269.020,0.980
Test_NotEqual_0012_sub_case_112_ND_bool,"(33554432,)",bfloat16 bfloat16,"[0, 1]",通过,601.240,597.800,1.006
Test_NotEqual_0012_sub_case_113_ND_bool,"(67108864,)",float16 float16,"[0, 1]",通过,1032.920,1036.460,0.997
Test_NotEqual_0012_sub_case_114_ND_bool,"(67108864,)",float float,"[0, 1]",通过,1986.420,1983.100,1.002
Test_NotEqual_0012_sub_case_115_ND_bool,"(67108864,)",int32 int32,"[0, 1]",通过,1862.140,1863.200,0.999
Test_NotEqual_0012_sub_case_116_ND_bool,"(67108864,)",int8 int8,"[0, 1]",通过,597.960,600.180,0.996
Test_NotEqual_0012_sub_case_117_ND_bool,"(67108864,)",uint8 uint8,"[0, 1]",通过,593.700,598.480,0.992
Test_NotEqual_0012_sub_case_118_ND_bool,"(67108864,)",bool bool,"[0, 1]",通过,592.480,595.340,0.995
Test_NotEqual_0012_sub_case_119_ND_bool,"(67108864,)",bfloat16 bfloat16,"[0, 1]",通过,1547.260,1292.200,1.197
Test_NotEqual_0012_sub_case_120_ND_bool,"(134217728,)",float16 float16,"[0, 1]",通过,2121.480,2122.560,0.999
Test_NotEqual_0012_sub_case_121_ND_bool,"(134217728,)",float float,"[0, 1]",通过,3932.600,3925.880,1.002
Test_NotEqual_0012_sub_case_122_ND_bool,"(134217728,)",int32 int32,"[0, 1]",通过,3749.820,3750.320,1.000
Test_NotEqual_0012_sub_case_123_ND_bool,"(134217728,)",int8 int8,"[0, 1]",通过,1258.620,1257.900,1.001
Test_NotEqual_0012_sub_case_124_ND_bool,"(134217728,)",uint8 uint8,"[0, 1]",通过,1261.340,1252.340,1.007
Test_NotEqual_0012_sub_case_125_ND_bool,"(134217728,)",bool bool,"[0, 1]",通过,1257.260,1254.360,1.002
Test_NotEqual_0012_sub_case_126_ND_bool,"(134217728,)",bfloat16 bfloat16,"[0, 1]",通过,2838.180,2838.400,1.000
